,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER
MLM801550998,used,Distrito Federal,Benito Juárez,460000.0,MXN,Usado,,,,4x2,No,,Internacional,,,,102000 km,CF 500,Automática,,2008,No,cummins,,,6000 kg,,,,,,,,,,,
MLM801509452,used,Estado De México,Texcoco,145000.0,MXN,Usado,,5,,4x4,Sí,2.5 L,Nissan,5,2.5,Gasolina,129000 km,Rogue,Automática,2.5 Advance Sl 2wd Piel Cvt,2013,,,,,,,,,,,,,,,,
MLM801505537,used,Distrito Federal,Benito Juárez,189950.0,MXN,Usado,4652 mm,5,115 hp,Delantera,Sí,1984 cc,Volkswagen,4,2.0,Gasolina,32000 km,Jetta,Automática,2.0 Tiptronic At,2017,No,,,,,,,,,,,,,,,
MLM801445693,used,Hidalgo,Pachuca De Soto,150000.0,MXN,Usado,,,,,,,Ford,2,,Gasolina,1 km,Bronco,,Ford bronco,1988,,,,,,,,,,,,,,,,
MLM808679389,used,Hidalgo,Pachuca De Soto,242000.0,MXN,Usado,4255 mm,5,140 hp,Delantera,Sí,1390 cc,Volkswagen,5,1.4,Gasolina,67052 km,Golf,Automática,1.4 Highline Dsg At,2016,,,,,,,,,,,,,,,,
MLM811924635,used,Distrito Federal,Miguel Hidalgo,329500.0,MXN,Usado,4701 mm,5,150 hp,Delantera,Sí,1395 cc,Volkswagen,5,1.4,Gasolina,21000 km,Tiguan,Automática,1.4 Trendline Plus At,2018,Sí,,,,,,,,,,,,,,,
MLM800122405,used,Estado De México,Tlalnepantla de Baz,149900.0,MXN,Usado,,,,Delantera,,1206 cc,Chevrolet,4,,Gasolina,29000 km,Beat,Manual,1.3 Nb Ltz Mt,2019,,,,,,,,,,,,,,,,
MLM798192395,used,Hidalgo,Tizayuca,650000.0,MXN,Usado,,,,6x2,,,Freightliner,,,,130593 km,52k,Manual,,2005,,,,,,,,,,,,,,,,
MLM797714799,used,Distrito Federal,Venustiano Carranza,770000.0,MXN,Usado,,,,,,,,,,,1 km,T660,Manual,,2012,,,,,,,,,,,,,,,,
MLM797698124,used,Jalisco,Guadalajara,168900.0,MXN,Usado,,,,Delantera,,1497 cc,Honda,5,,Gasolina,78000 km,Fit,Automática,1.5 Hit At Cvt,2016,,,,,,,,,,,,,,,,
